"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZBTB26",4.09637936181064e-39,8.19937052837223,0.285,0.425,1.22891380854319e-35
"MTFMT",4.54103545020179e-39,5.56822548294789,0.311,0.471,1.36231063506054e-35
"LOC714265",4.6235774822835e-39,4.71574603741955,0.287,0.402,1.38707324468505e-35
"ALK",4.6983463662432e-39,5.3924836612852,0.26,0.415,1.40950390987296e-35
"TTC28",4.8779724907142e-39,0.725821989794687,0.201,0.251,1.46339174721426e-35
"LOC703490",5.11357282867129e-39,3.24432872264747,0.247,0.381,1.53407184860139e-35
"ZNF711",5.14627956442943e-39,0.518805241516647,0.229,0.338,1.54388386932883e-35
"LOC100424766",5.26091997945329e-39,6.39115198132963,0.303,0.443,1.57827599383599e-35
"SLC9B2",5.66789912999579e-39,4.69476165737932,0.3,0.425,1.70036973899874e-35
"LOC106996620",8.30540566679028e-39,4.84762474245122,0.283,0.42,2.49162170003708e-35
"TBC1D32",1.41892181095097e-38,5.75371649897632,0.167,0.286,4.25676543285292e-35
"PIGH",1.5492506289509e-38,3.14883228440027,0.235,0.365,4.64775188685269e-35
"MRPS28",1.56433361916607e-38,1.03638472574437,0.285,0.367,4.69300085749821e-35
"LOC705220",1.62795765231913e-38,1.55318822871162,0.118,0.167,4.88387295695739e-35
"LOC106994723",1.66661501811426e-38,6.15213197962491,0.336,0.499,4.99984505434278e-35
"SLCO4C1",1.68330380092521e-38,6.61902563945068,0.259,0.35,5.04991140277563e-35
"C11H12orf40",1.80470210546021e-38,6.3386451841149,0.231,0.317,5.41410631638064e-35
"SPATA6L",1.85407565933031e-38,7.218784253207,0.393,0.545,5.56222697799093e-35
"GABBR1",1.9740751948582e-38,0.624454950190878,0.168,0.223,5.92222558457461e-35
"MID2",2.34526367246281e-38,7.36075974219974,0.256,0.403,7.03579101738844e-35
"SAV1",2.34788062742389e-38,9.56422519464781,0.206,0.281,7.04364188227168e-35
"LOC114672797",2.3965988881859e-38,2.09033779738701,0.177,0.278,7.1897966645577e-35
"LOC114671739",2.64829275672739e-38,5.56937953920179,0.317,0.461,7.94487827018217e-35
"NFKBID",2.65592803014335e-38,11.5440620186514,0.111,0.137,7.96778409043005e-35
"SUSD1",2.86443850713234e-38,0.898044872432463,0.198,0.233,8.59331552139701e-35
"LOC114675520",3.21733214914425e-38,3.16917935335024,0.267,0.374,9.65199644743275e-35
"LOC106993987",3.49610218098218e-38,1.43401727827739,0.265,0.39,1.04883065429465e-34
"HMGN3",3.9412248651924e-38,1.07113814813398,0.098,0.193,1.18236745955772e-34
