Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
PCK2	PCK2	0.0248320173927653E0	0.0448941180897846E0	0.9990704832729299E0	-0.001341632804276573E0	-1.000930381532267E0	1.031636861793398E0	1.032596677677616E0	0.03728262885056623E0	0.04236784561066401E0
LOC106993962	.	0.02482558601827609E0	0.04488650849495483E0	0.9994412087408973E0	-8.063907014259814E-4	-1.000559103681353E0	1.000145274311949E0	1.000704459216704E0	3.58969919622676E-4	0.001686874231771759E0
RAB30	RAB30	0.02479740004876041E0	0.04483956008817035E0	0.9947953896801405E0	-0.007528273401110083E0	-1.005231840008359E0	1.045128213704433E0	1.050596157306756E0	0.04673687302667463E0	0.05644713489693248E0
PDIK1L	PDIK1L	0.02477722701169972E0	0.0448070938474627E0	0.9978576227660668E0	-0.003094112573988483E0	-1.002146976868298E0	1.018568415703732E0	1.020755258531026E0	0.02267593284168559E0	0.02830000369842069E0
LOC106995464	.	0.0247717970606933E0	0.04480128555084915E0	0.9989219839835342E0	-0.001556087255223991E0	-1.001079179389132E0	1.027583642273827E0	1.028692589361178E0	0.03301006088649544E0	0.03787860344678574E0
MFSD4B	.	0.02475879806595683E0	0.04478178591709466E0	0.9991422845043257E0	-0.001237952873711127E0	-1.000858451803088E0	1.015760087478352E0	1.016632068556953E0	0.02010218414613478E0	0.0238893517577593E0
LOC107000607	.	0.02470882193083467E0	0.04469539542889115E0	0.9980610601259393E0	-0.00280001434869334E0	-1.001942706665478E0	1.010693240016797E0	1.012656720510931E0	0.01120691451977868E0	0.01557701863879121E0
CFAP70	CFAP70	0.02468209729877854E0	0.04465105250700663E0	1.006729603590139E0	0.009676243480646E0	1.006729603590139E0	1.056916813854354E0	1.049851727897184E0	0.07495529845204507E0	0.07235629092998405E0
LOC114676823	.	0.02466991710947775E0	0.04463301556585737E0	0.9995787360113502E0	-6.078835160391679E-4	-1.000421441526788E0	1.025344657516264E0	1.025776780334212E0	0.02509988257619142E0	0.02936648130761654E0
ISCA2	ISCA2	0.0246654865170617E0	0.04462899728313286E0	1.000339304756365E0	4.894302610450445E-4	1.000339304756365E0	1.015289041186845E0	1.014944665634348E0	0.0174428464007419E0	0.01968159063275339E0
MAP1LC3A	MAP1LC3A	0.02463807300991536E0	0.04458338995290007E0	1.001255345167306E0	0.001809944432519091E0	1.001255345167306E0	1.003141219577479E0	1.001883509955053E0	0.004235337587243283E0	0.003368731024791388E0
LOC106998974	.	0.02461063767422465E0	0.04453773494704681E0	1.000912714230417E0	0.001316167742785374E0	1.000912714230417E0	1.00170235723262E0	1.000788922941007E0	0.00256317959159883E0	0.002011311998816373E0
EXO1	EXO1	0.02459326585501854E0	0.0445115000130302E0	1.000843989335773E0	0.001217105689388115E0	1.000843989335773E0	1.016261187144093E0	1.015404196830469E0	0.0205006607447951E0	0.02262461712997701E0
CLBA1	CLBA1	0.02459393703066725E0	0.0445115000130302E0	1.002585336720921E0	0.003725039298017448E0	1.002585336720921E0	1.00393471629402E0	1.001345899968488E0	0.005381515668309914E0	0.002436976936020478E0
TECTA	.	0.02458302877961559E0	0.04449973250498977E0	0.9978400020343222E0	-0.003119588720263878E0	-1.002164673656372E0	1.05609426434179E0	1.058380363774456E0	0.05863327341312648E0	0.06580903559084973E0
LOC697395	.	0.02457095492050219E0	0.04448186317865942E0	1.000142750505032E0	2.059307476842782E-4	1.000142750505032E0	1.001970870109798E0	1.001827858677017E0	0.001807392219703628E0	0.002539492062787655E0
LOC106993562	.	0.02453175881310708E0	0.04441488566754543E0	1.006012416520568E0	0.008648111447716591E0	1.006012416520568E0	1.017093584286826E0	1.011014941350907E0	0.02222832309122069E0	0.01608365904518153E0
LOC114669927	.	0.02452613988154363E0	0.04440869326108635E0	0.999067742926543E0	-0.001345589972094987E0	-1.000933126987692E0	1.053198622141241E0	1.054181390198961E0	0.05846575696966347E0	0.06432739160581845E0
FOXJ1	FOXJ1	0.02451691006285839E0	0.04439596104084756E0	1.001942745847264E0	0.002800070766457533E0	1.001942745847264E0	1.004606283425151E0	1.002658373034714E0	0.005237071064923785E0	0.003769131511700877E0
PQBP1	PQBP1	0.02449626329351106E0	0.04436411401141999E0	0.9978975644979681E0	-0.003036366274328213E0	-1.002106865049911E0	1.030508974865814E0	1.032680118208578E0	0.0362878979246111E0	0.04257418505991067E0
LOC100429002	.	0.02449712662488203E0	0.04436411401141999E0	0.9997095884440251E0	-4.190361610390719E-4	-1.000290495919347E0	1.000217579267625E0	1.000508138392861E0	6.957311541058265E-4	0.001075737662029445E0
LOC114677483	.	0.0244800744103455E0	0.04434118401400398E0	1.000018623907764E0	2.686836917745631E-5	1.000018623907764E0	1.000957939734428E0	1.000939298333258E0	9.543739524416345E-4	0.002048287768845811E0
LOC114675710	.	0.02447477486141958E0	0.04433639681743256E0	0.9971635046988706E0	-0.004098012452497588E0	-1.002844563893246E0	1.008908474595674E0	1.011778379214099E0	0.01122588367191251E0	0.01694646910925342E0
C1H1orf122	C1H1orf122	0.02447523638550218E0	0.04433639681743256E0	0.9998619809099268E0	-1.99133199204168E-4	-1.000138038141972E0	1.001492182537161E0	1.001630426657238E0	0.002171581287509283E0	0.003478013277518108E0
LOC114676209	.	0.02441840140360531E0	0.04424137706763725E0	0.999666173736853E0	-4.816898992042933E-4	-1.000333937740335E0	1.000340977948308E0	1.000675029554049E0	5.235272725734923E-4	0.001353520604553578E0
HNF4G	HNF4G	0.02441295858717332E0	0.04423548376637002E0	1.000011720032491E0	1.690833367083062E-5	1.000011720032491E0	1.000346736138561E0	1.000335012179717E0	5.656852592239516E-4	9.848004077643124E-4
CALML4	.	0.02440550891572768E0	0.04422595272562962E0	0.9938212542687258E0	-0.008941698601879456E0	-1.006217159981973E0	1.027103523826973E0	1.033489190752654E0	0.03165779869175939E0	0.04149793609063054E0
CFAP46	CFAP46	0.02439838039808194E0	0.04421700199914392E0	1.000854912797444E0	0.001232851538042393E0	1.000854912797444E0	1.000978651974851E0	1.000123633481562E0	0.001457590221608904E0	5.19939327139527E-4
GBP6	GBP6	0.02437767613407791E0	0.04418344423511357E0	0.9963670877772784E0	-0.005250727950041402E0	-1.003646158396125E0	1.009780164397899E0	1.013461982822559E0	0.01225985805140071E0	0.01923024833095638E0
DNAJC18	DNAJC18	0.02433010690776161E0	0.04410118453943902E0	0.9974024042987412E0	-0.00375241417660507E0	-1.002604360777619E0	1.052095746559277E0	1.054835783455916E0	0.0568830395376391E0	0.06446311803947669E0
OTUD1	OTUD1	0.02431625454042663E0	0.04408003134154883E0	1.004775239740469E0	0.006872818044637514E0	1.004775239740469E0	1.015033053666769E0	1.010209063201985E0	0.01704661652425762E0	0.01351551712662817E0
LOC106998105	.	0.02428959616292858E0	0.04403565777747342E0	0.999451957045793E0	-7.908755889260582E-4	-1.000548343469982E0	1.001069666777223E0	1.001618596791997E0	0.002476059500831527E0	0.00193578135204385E0
LOC107001010	.	0.02427342689211832E0	0.04401029410834881E0	0.9999527580767021E0	-6.815729841748532E-5	-1.000047244155203E0	1.000401024780328E0	1.000448287881608E0	6.281645019658626E-4	9.27491643616056E-4
LOC114672337	.	0.02426437157563288E0	0.04399782539587332E0	1.000262965705695E0	3.793294463971792E-4	1.000262965705695E0	1.001269593220042E0	1.001006362875424E0	0.001600618912187058E0	0.002269908837848183E0
COX6B1	COX6B1	0.02426024094012058E0	0.04399428501603121E0	1.000975087648267E0	0.001406068705825533E0	1.000975087648267E0	1.027272545312815E0	1.026271840317558E0	0.03345414155546853E0	0.03625853155344395E0
LOC114673489	.	0.0242506045531994E0	0.04398075880089086E0	0.9998555314942874E0	-2.08439053558051E-4	-1.000144489379877E0	1.000225426269345E0	1.000369948220925E0	2.984646771728197E-4	0.001024494190765138E0
LOC114674436	.	0.02423816513389123E0	0.04396214613634476E0	0.9993229716461554E0	-9.770762401264E-4	-1.000677487031775E0	1.000802314551966E0	1.001480345141445E0	0.001052632840030404E0	0.002890244873751482E0
UBE2Q2	UBE2Q2	0.02420812644794658E0	0.04391160646570498E0	1.004764743777352E0	0.006857747457277155E0	1.004764743777352E0	1.124260047691329E0	1.118928639419354E0	0.1239619290552167E0	0.126424626986109E0
LOC114674863	.	0.02419619464401269E0	0.04389738132512308E0	0.9986774230057279E0	-0.001909338172704544E0	-1.001324328520707E0	1.000410363015615E0	1.001735234991767E0	7.540884762216255E-4	0.002679481445628493E0
LOC720399	.	0.02419811088592536E0	0.04389738132512308E0	0.9894896028291511E0	-0.01524354681177507E0	-1.01062203901971E0	1.040517031662947E0	1.051569444173944E0	0.0503424442494155E0	0.06337038014818626E0
LSMEM2	LSMEM2	0.02418631000723401E0	0.0438838564073044E0	1.00022582440534E0	3.257589689171017E-4	1.00022582440534E0	1.000958301280241E0	1.000732311501092E0	0.001320344382149515E0	0.001562774129339498E0
LOC722798	.	0.0241661358067885E0	0.04385303725848951E0	0.9980163248213585E0	-0.002864680581143962E0	-1.001987617967067E0	1.003832099069361E0	1.005827333785391E0	0.006632481345913576E0	0.01148538213283978E0
ABTB2	ABTB2	0.0241671530708113E0	0.04385303725848951E0	0.9994010489420994E0	-8.643626022640061E-4	-1.000599310015268E0	1.02319973279017E0	1.023812946637651E0	0.02644994983608711E0	0.03089362588219335E0
ARHGAP22	ARHGAP22	0.02415917114876631E0	0.0438488374359599E0	0.999830398695195E0	-2.447037129916436E-4	-1.000169630074287E0	1.011384276961765E0	1.011555838151799E0	0.01106984322494748E0	0.01428364257231315E0
RHOBTB2	RHOBTB2	0.02416049667416565E0	0.0438488374359599E0	1.002260366935928E0	0.003257340162369605E0	1.002260366935928E0	1.007835447446876E0	1.005562507203584E0	0.01017487194448105E0	0.00899671303078716E0
TMEM141	.	0.0241508635217973E0	0.04383923262454048E0	1.000096316263628E0	1.389483045104284E-4	1.000096316263628E0	1.006811472399996E0	1.006714509419908E0	0.007969468081366376E0	0.009869467559863447E0
NPR2	NPR2	0.02414728660638641E0	0.04383667938844082E0	0.995882477833469E0	-0.005952592202951334E0	-1.004134546252374E0	1.017184423129494E0	1.021390019174117E0	0.02044850572498237E0	0.02807255484625363E0
PLXND1	PLXND1	0.02414099594927276E0	0.04382919875805943E0	1.00559373617247E0	0.008047568374381022E0	1.00559373617247E0	1.056911279668847E0	1.05103208348503E0	0.06237617248578173E0	0.06178424008713127E0
TAF1C	TAF1C	0.02413759240136181E0	0.0438269589466654E0	1.001590746987011E0	0.002293139370374516E0	1.001590746987011E0	1.055999097420416E0	1.054321937974244E0	0.06549147967339213E0	0.06868032084694085E0
RAPGEF3	RAPGEF3	0.02407820308343101E0	0.04372305545978059E0	0.9991346935904509E0	-0.001248913690377792E0	-1.000866055813195E0	1.00052796043348E0	1.001394473489878E0	4.95471124859556E-4	0.003195111944149565E0
PRIM1	.	0.02405511255909398E0	0.04368841302721672E0	0.9990520571976778E0	-0.001368240989562167E0	-1.000948842250504E0	1.034958855660757E0	1.035940868350542E0	0.04123465280360369E0	0.04666446649636678E0
LOC106996100	.	0.02405696255513933E0	0.04368841302721672E0	1.001697343912894E0	0.002446673809268911E0	1.001697343912894E0	1.002849166291501E0	1.001149870652654E0	0.004674861836261318E0	0.002442464456058335E0
IQSEC3	IQSEC3	0.02402943542009685E0	0.0436462712783378E0	1.000900451781119E0	0.001298492791802722E0	1.000900451781119E0	1.001888240174087E0	1.000986899737342E0	0.003582209401098042E0	0.003002969838722028E0
LOC106994433	.	0.02402464935900639E0	0.04364432485433625E0	1.002803457236169E0	0.004038875086721403E0	1.002803457236169E0	1.057348596424672E0	1.054392651715458E0	0.06197752788906981E0	0.0642673630798522E0
GABRA5	GABRA5	0.02402620299313619E0	0.04364432485433625E0	0.9979198207267234E0	-0.003004190033061667E0	-1.002084515439088E0	1.007751606534937E0	1.009852280317524E0	0.008130694255008623E0	0.01283974646243786E0
KLRG1	KLRG1	0.02402135708596487E0	0.04364337235066282E0	0.9911201164164136E0	-0.01286818292761646E0	-1.008959442388974E0	1.109849078184943E0	1.119792707061397E0	0.09151849647637339E0	0.1029024541521256E0
CCDC80	CCDC80	0.02399983662418414E0	0.04360819540619569E0	0.9983426697107883E0	-0.002393005738008833E0	-1.001660081592718E0	1.001198488783889E0	1.002860559965776E0	0.001616145147499649E0	0.005315145764758378E0
VPS18	VPS18	0.023876949071443E0	0.04338880947773331E0	0.9978182668320366E0	-0.00315101420932748E0	-1.002186503535248E0	1.013149670514927E0	1.015364925851244E0	0.01780941612142157E0	0.02351437253689773E0
LOC114672137	.	0.02382311913324898E0	0.04329488575250701E0	1.001766337904841E0	0.002546039014614335E0	1.001766337904841E0	1.002236681149638E0	1.000469513924556E0	0.003235272048533632E0	8.622777056241749E-4
LOC114672862	.	0.02377531716788427E0	0.04321348239818263E0	0.99613789087148E0	-0.00558263300863274E0	-1.00387708284557E0	1.004392663718817E0	1.008286777285537E0	0.005964544447484753E0	0.01128352316626133E0
LOC114670905	.	0.02377618724086561E0	0.04321348239818263E0	0.9979938419842892E0	-0.002897181294903618E0	-1.002010190776049E0	1.001007264459087E0	1.003019480028861E0	0.001581024348211714E0	0.005357841462680794E0
LOC114678771	.	0.02376341569478724E0	0.04319804429874112E0	0.9974122886527587E0	-0.003738117000457393E0	-1.002594424970176E0	1.011750122423975E0	1.014375032205171E0	0.01447357706890635E0	0.01981052579982573E0
LOC114670481	.	0.0237577982035434E0	0.04319171990235549E0	0.9982120814374077E0	-0.002581729893522038E0	-1.00179112094097E0	1.003616361257403E0	1.005413959538751E0	0.00468588620628198E0	0.008317741670366481E0
BET1L	BET1L	0.02374262089927761E0	0.04316801304560348E0	1.001457656712167E0	0.002101422905174527E0	1.001457656712167E0	1.016523947098823E0	1.015044360873049E0	0.02020154235745876E0	0.02150085352099326E0
MSH5	.	0.02373504993719113E0	0.04315956331310215E0	1.000697668901285E0	0.001006172517227591E0	1.000697668901285E0	1.028259525612109E0	1.027542641066692E0	0.03432012043194756E0	0.03744161779845676E0
LOC114675029	.	0.02373583668095548E0	0.04315956331310215E0	0.9990839106343401E0	-0.001322243323886005E0	-1.000916929354891E0	1.004705505482856E0	1.005626749453854E0	0.005956970920980545E0	0.00889226373701029E0
LOC114678998	.	0.02369944943268088E0	0.0431011597011785E0	0.999973087361325E0	-3.882725282798392E-5	-1.000026913362985E0	1.000825851891719E0	1.000852787481155E0	0.001213201118825632E0	0.00210744948387378E0
LOC100430938	.	0.02365691760380197E0	0.04302768318429465E0	1.00115837398723E0	0.001670213227746678E0	1.00115837398723E0	1.010151615080918E0	1.008982835610585E0	0.01213332653909196E0	0.01293767602306535E0
ERCC6L	ERCC6L	0.02365109032864088E0	0.04302095843460812E0	0.9969493871465761E0	-0.004407830751464451E0	-1.003059947568808E0	1.014327640471609E0	1.017431429869045E0	0.01791634341745372E0	0.02424332741806278E0
LOC114677607	.	0.02358411738822242E0	0.04290299946026447E0	0.9996275364682606E0	-5.374513868877213E-4	-1.000372602312513E0	1.000070231823874E0	1.000442860304926E0	1.062941317551871E-6	9.913931923707373E-4
C5	C5	0.02357139773695405E0	0.04288372288695712E0	0.9979090383769632E0	-0.003019778185780572E0	-1.002095342904638E0	1.002766110954063E0	1.004867249809661E0	0.003472433406355075E0	0.008198480530160179E0
ARMH1	ARMH1	0.0235547305873155E0	0.04285726046325542E0	0.9970552027070303E0	-0.004254712162634464E0	-1.002953494736274E0	1.028096449360356E0	1.031132926811924E0	0.02960998148588894E0	0.03644942182651466E0
THG1L	THG1L	0.02351834220725212E0	0.04279490773892598E0	0.9989529430299379E0	-0.001511375284402447E0	-1.001048154447482E0	1.024820121289984E0	1.025894291057983E0	0.02872337678620774E0	0.03344821065161582E0
LOC114674341	.	0.02351032080187897E0	0.04278812493233337E0	0.9987549646495959E0	-0.001797325424920659E0	-1.001246587395779E0	1.003037728246366E0	1.004288102435889E0	0.00387943347502561E0	0.007121487242389049E0
LOC114669981	.	0.02351056778451899E0	0.04278812493233337E0	0.9980826878005756E0	-0.002768751931868496E0	-1.001920995347239E0	1.000694752658707E0	1.00261708262257E0	8.055084237823278E-4	0.004033182299279596E0
SCEL	SCEL	0.02351249621863393E0	0.04278812493233337E0	0.9985147309800548E0	-0.002144383136887392E0	-1.00148747832542E0	1.000124122576911E0	1.001611785531973E0	2.229421346412818E-4	0.002456997417499422E0
SLC39A14	SLC39A14	0.02350013647522686E0	0.04277719507269576E0	0.9995996865066181E0	-5.776459191464529E-4	-1.000400473808451E0	1.029646777867889E0	1.030059124434382E0	0.03570427183213373E0	0.04080335574201503E0
LOC114674067	.	0.02347612476311024E0	0.04273775799527905E0	0.9998810330778376E0	-1.716431987675044E-4	-1.000118981076975E0	1.000095435776373E0	1.0002144282084E0	5.586085908744118E-5	7.377857957592822E-4
PSMB3	PSMB3	0.02347635533011294E0	0.04273775799527905E0	0.994063960586267E0	-0.008589413470089784E0	-1.005971486392316E0	1.030458145969277E0	1.036611512765784E0	0.03588131164786418E0	0.0455265196872089E0
TMEM236	TMEM236	0.02346998122139075E0	0.0427338574515145E0	1.000471406738974E0	6.799359139622701E-4	1.000471406738974E0	1.000944359128178E0	1.000472729541312E0	0.001515003911862884E0	0.001092215053475678E0
NRG4	NRG4	0.02345840412496391E0	0.04271662878795717E0	1.000601486956989E0	8.675013807703041E-4	1.000601486956989E0	1.001240808000638E0	1.000638936731539E0	0.001789856354091632E0	0.001808336857424291E0
EBPL	EBPL	0.02341872973011159E0	0.04264822857170623E0	0.9964348736347958E0	-0.005152580394575261E0	-1.003577881966535E0	1.053809675554259E0	1.057580082188584E0	0.05608318963466306E0	0.06402034908723031E0
THEM6	THEM6	0.02340954263650541E0	0.04263534194518812E0	0.9985613013802483E0	-0.002077097881509141E0	-1.001440771455656E0	1.000317879870987E0	1.001759109318887E0	4.533738758425292E-4	0.003342676048214357E0
LOC114674313	.	0.02338278895867606E0	0.04259045643316251E0	0.996992371782324E0	-0.004345628612851471E0	-1.003016701333732E0	1.004061834004701E0	1.007090788678491E0	0.004964004417757979E0	0.009974978354549868E0
LOC114673567	.	0.02337381298285546E0	0.04257794684593386E0	0.9996720979108903E0	-4.731402939411467E-4	-1.000328009644157E0	1.002239852094934E0	1.00256859643218E0	0.003303936489887976E0	0.004872318650250479E0
EVPL	EVPL	0.02335024938093588E0	0.04253885965510443E0	0.9975352611682644E0	-0.003560255844632613E0	-1.002470828779375E0	1.009274627909707E0	1.011768372706639E0	0.01137079892017957E0	0.01661378118853873E0
LOC698942	.	0.02333250073707739E0	0.04251202856283703E0	0.999129782795679E0	-0.001256004622882511E0	-1.000870975141874E0	1.001098688875994E0	1.001970620948567E0	0.001068600807156087E0	0.002729089509238138E0
SEMA6A	SEMA6A	0.02333341660796174E0	0.04251202856283703E0	0.9995389378891884E0	-6.653254107677589E-4	-1.000461274787139E0	1.000790225700156E0	1.001251864998487E0	9.023495163099366E-4	0.00258970722364123E0
BCL3	BCL3	0.02331669892714516E0	0.0424892353780655E0	0.9982863777130057E0	-0.00247435503638662E0	-1.001716563829029E0	1.039968750927997E0	1.04175392366916E0	0.04603906575784573E0	0.05236213776854584E0
FBXO39	FBXO39	0.02330867177883213E0	0.0424784401866689E0	0.9974419587163192E0	-0.003695201731212712E0	-1.002564601640553E0	1.002874427865233E0	1.005446401268206E0	0.002973258310917128E0	0.007435823516426556E0
LOC114679589	.	0.02329767689016961E0	0.04246555320297655E0	0.9999984115145282E0	-2.291701932895944E-6	-1.000001588487995E0	1.000085461927054E0	1.000087050550804E0	9.69041455133159E-5	3.51812209862638E-4
LIN9	LIN9	0.02329949799957353E0	0.04246555320297655E0	0.9960477712316608E0	-0.005713158149954442E0	-1.003967910859789E0	1.082965964683503E0	1.087263077095553E0	0.08163652554335281E0	0.09165775241450815E0
ALDH3A2	ALDH3A2	0.02329082998761112E0	0.04245741733662178E0	1.002777130076352E0	0.004000998710024985E0	1.002777130076352E0	1.066416047076045E0	1.063462672902051E0	0.07376873663440343E0	0.07616274643284628E0
LOC114673098	.	0.02327947369512562E0	0.04244054605055937E0	0.9974712229473964E0	-0.00365287471523871E0	-1.002535187977786E0	1.025052401148625E0	1.027651101672618E0	0.0281326919616272E0	0.03341817119612284E0
LOC715097	.	0.02325487647826473E0	0.04239953015959479E0	1.000334851850174E0	4.830082400895026E-4	1.000334851850174E0	1.007690245326005E0	1.00735293133317E0	0.009642665668885695E0	0.01138081705415587E0
FADD	FADD	0.02324669635426302E0	0.04238844208390398E0	1.000405816995937E0	5.853514028040689E-4	1.000405816995937E0	1.014661390485185E0	1.014249790682001E0	0.01807240511859526E0	0.02028561036747659E0
RIMKLB	RIMKLB	0.02320460428682438E0	0.0423155107787359E0	0.9941933064848351E0	-0.008401704676286053E0	-1.005840608136556E0	1.023976962586311E0	1.029957610765638E0	0.02764482135980485E0	0.03576890043361334E0
DPP6	DPP6	0.02319739325348193E0	0.04230618049063909E0	1.000780434358445E0	0.001125489650374632E0	1.000780434358445E0	1.004863524494046E0	1.004079906036751E0	0.006467687964824862E0	0.007124642187985712E0
