Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC106992984	.	0.02613681575755012E0	0.04704254185269982E0	1.000790505925515E0	0.001140008446159881E0	1.000790505925515E0	1.002904652946359E0	1.002112477095183E0	0.003248521277879531E0	0.003497827135250185E0
LOC106999563	.	0.02611511757164744E0	0.04700767709759691E0	0.9956929813654869E0	-0.006227134263796631E0	-1.004325649286597E0	1.006339833686516E0	1.010692906870176E0	0.008057167966063317E0	0.01403923511940495E0
RABGAP1L	RABGAP1L	0.02611111217488471E0	0.04700465630198943E0	0.975264263407399E0	-0.03613490182040779E0	-1.025363111846402E0	7.843584540957114E0	8.04252225294612E0	0.947681284439531E0	0.959977872040094E0
SNAI1	SNAI1	0.02607656681130475E0	0.04694665268337048E0	1.000550664969496E0	7.942229653642338E-4	1.000550664969496E0	1.001010587797336E0	1.000459669703837E0	0.00164932512508571E0	0.001192810711738285E0
CBLC	CBLC	0.02605567162408694E0	0.04691321585517098E0	1.000029195978553E0	4.212027860360734E-5	1.000029195978553E0	1.001046440265606E0	1.001017214588478E0	0.00127624132527105E0	0.002234112965160831E0
C13H2orf15	C13H2orf15	0.02602041484510207E0	0.0468539127254499E0	1.000646832268877E0	9.328800306580991E-4	1.000646832268877E0	1.010775717773805E0	1.010122338050041E0	0.01188275452498911E0	0.01322091869069732E0
C8H8orf58	.	0.02595607770317489E0	0.04674514119201391E0	1.000279159329786E0	4.026855765972978E-4	1.000279159329786E0	1.007625374862034E0	1.007344165339973E0	0.00962217635210326E0	0.01125842248453926E0
PRC1	PRC1	0.02595769400978453E0	0.04674514119201391E0	1.001045962451685E0	0.001508216210671176E0	1.001045962451685E0	1.025425048545625E0	1.024353613129044E0	0.02804575092704794E0	0.0308134811318342E0
LOC106997253	.	0.02594303425633181E0	0.04672707382819599E0	1.000203625770633E0	2.937399839896745E-4	1.000203625770633E0	1.00037095095218E0	1.000167291116764E0	5.896004682662643E-4	4.171815832556603E-4
PRSS56	PRSS56	0.02593449785811042E0	0.04671586441970162E0	1.000280508561212E0	4.046315615311986E-4	1.000280508561212E0	1.002234367220801E0	1.001953310739204E0	0.002737214776623125E0	0.003168824617885825E0
