Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
PMAIP1	PMAIP1	0.0E0	0.0E0	1.079399827699336E0	1.079399827699336E0	1.30582425538693E0	1.209768819557996E0	0.2574170461733942E0	0.2134722723488246E0
FOS	FOS	0.0E0	0.0E0	1.135440174777525E0	1.135440174777525E0	2.62519451693278E0	2.312050053581338E0	0.6606368131747619E0	0.6329130641090887E0
KLF13	KLF13	0.0E0	0.0E0	0.9111099001445617E0	-1.097562434390554E0	1.652970061103958E0	1.814237844239964E0	0.4450442116959097E0	0.5390809030513717E0
ALDH1A3	ALDH1A3	0.0E0	0.0E0	1.000055538743424E0	1.000055538743424E0	1.000247285010512E0	1.000191735618333E0	5.328573503184427E-4	6.804773281553396E-4
LSM14A	LSM14A	0.0E0	0.0E0	0.9477607193699132E0	-1.05511863866316E0	1.831792722691305E0	1.932758643879133E0	0.5377621093711797E0	0.6169128407746671E0
LRRC14B	LRRC14B	0.0E0	0.0E0	1.000034750495E0	1.000034750495E0	1.000172328474928E0	1.000137573199192E0	3.685123633622754E-4	3.601330819409365E-4
LOC106993441	.	0.0E0	0.0E0	1.0000138759E0	1.0000138759E0	1.000309412407088E0	1.000295532406309E0	5.979478687709086E-4	7.675464290953737E-4
TXNIP	TXNIP	0.0E0	0.0E0	1.060998910358714E0	1.060998910358714E0	1.427987178923418E0	1.345889392516557E0	0.3457936618270026E0	0.324061259054768E0
TXLNG	TXLNG	0.0E0	0.0E0	1.038795896238751E0	1.038795896238751E0	1.530849243169432E0	1.47367663726079E0	0.3877990497819912E0	0.394149063776014E0
LOC705041	.	0.0E0	0.0E0	1.000071111917838E0	1.000071111917838E0	1.000087848673184E0	1.000016735565248E0	1.043047503882536E-4	2.770445111765554E-4
LOC106993873	.	0.0E0	0.0E0	0.9999000292806552E0	-1.000099980714489E0	1.00009982069034E0	1.000199811384973E0	2.254836481046823E-4	5.758181614030191E-4
TUT7	TUT7	0.0E0	0.0E0	0.9578641501240347E0	-1.043989379778447E0	2.005367996598716E0	2.09358289099664E0	0.5706208366713342E0	0.6376270060949373E0
