Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LRRC40	LRRC40	0.0E0	0.0E0	1.001568981589144E0	1.001568981589144E0	1.161293419220835E0	1.159474225507927E0	0.1574013573154584E0	0.1747243678189806E0
JPT1	JPT1	0.0E0	0.0E0	0.9967775891336397E0	-1.003232828367621E0	1.072659272453318E0	1.076126995778097E0	0.08368076207572284E0	0.09732124057351688E0
LRRC41	LRRC41	0.0E0	0.0E0	0.9943287813720638E0	-1.005703564790823E0	1.119408050013967E0	1.125792666354591E0	0.1279057191808271E0	0.1467888067206808E0
LRRC47	LRRC47	0.0E0	0.0E0	0.9977747899412143E0	-1.002230172661425E0	1.063990607263626E0	1.066363490027959E0	0.07350552308287281E0	0.08718487026500521E0
JOSD1	JOSD1	0.0E0	0.0E0	0.9951605998056824E0	-1.004862933877469E0	1.120584681500626E0	1.126034010710868E0	0.1296603187396995E0	0.1472453877563551E0
JMY	JMY	0.0E0	0.0E0	1.004096410446254E0	1.004096410446254E0	1.624005059213523E0	1.617379608489747E0	0.4217256557212476E0	0.4583291774036803E0
JUND	JUND	0.0E0	0.0E0	1.014766878033657E0	1.014766878033657E0	1.169002725224487E0	1.151991408597901E0	0.1753010128426475E0	0.1762665995148281E0
RBMS1	RBMS1	0.0E0	0.0E0	0.9712554332714736E0	-1.02959526994017E0	2.744846301805818E0	2.82608076905204E0	0.6762627780600265E0	0.7266079767824627E0
JMJD6	JMJD6	0.0E0	0.0E0	1.001269735958569E0	1.001269735958569E0	1.062711207605212E0	1.061363556132876E0	0.07028235652505166E0	0.07935046194282333E0
TTC12	TTC12	0.0E0	0.0E0	0.9745897024024446E0	-1.026072815601188E0	1.136321435113066E0	1.165948534354446E0	0.1336388023764533E0	0.1750497634100757E0
JMJD1C	JMJD1C	0.0E0	0.0E0	1.007376440844018E0	1.007376440844018E0	5.533251076758793E0	5.49273424751012E0	0.900110003129639E0	0.928475489025022E0
